product_name_old,product_name_new,barcode_norm_old,barcode_norm_new,barcode_status,unit_price_old,unit_price_new,price_diff,categories_old,categories_new
S-Budget Sülve-Főve Csirke friss csirkemáj 500 g,S-Budget Sülve-Főve Csirke friss csirkemáj 500 g,5999033893534,,lost_barcode,799.0,744.0,-55.0,belsosegek-126,baromfi-124
S-Budget Sülve-Főve Csirke szeletelt friss csirkemellfilé 500 g,S-Budget Sülve-Főve Csirke szeletelt friss csirkemellfilé 500 g,5999033893572,,lost_barcode,1510.0,1362.0,-148.0,baromfi-119,baromfi-124
S-Budget alma- és tutti-frutti ízű magas koffeintartalmú szénsavas üdítőital 250 ml,S-Budget alma- és tutti-frutti ízű magas koffeintartalmú szénsavas üdítőital 250 ml,5999138200510,,lost_barcode,249.0,259.0,10.0,energiaital-142,energiaital-204
S-Budget baromfi párizsi 500 g,S-Budget baromfi párizsi 500 g,5999033898904,,lost_barcode,441.0,403.0,-38.0,felvagott-281,felvagott-115
"S-Budget félzsíros, félkemény darabolt trappista sajt","S-Budget félzsíros, félkemény darabolt trappista sajt",2005015980017,,lost_barcode,772.2,721.5,-50.700000000000045,kemeny-felkemeny-sajtok-35,kemeny-felkemeny-sajtok-87
"S-Budget félzsíros, félkemény trappista sajt","S-Budget félzsíros, félkemény trappista sajt",15999033886984,,lost_barcode,3575.0,3107.0,-468.0,kemeny-felkemeny-sajtok-35,kemeny-felkemeny-sajtok-87
S-Budget füstölt-főtt császárszalonna,S-Budget füstölt-főtt császárszalonna,2004053700021,,lost_barcode,1974.0,1884.0,-90.0,szalonna-bacon-67,szalonna-bacon-121
"S-Budget hámozott, egész paradicsom paradicsomlében 400 g","S-Budget hámozott, egész paradicsom paradicsomlében 400 g",9100000775845,,lost_barcode,349.0,275.0,-74.0,paradicsompure-pesto-egyeb-olasz-szoszok-154,paradicsompure-pesto-egyeb-olasz-szoszok-214
S-Budget keksz kakaókrémes töltelékkel töltve 500 g,S-Budget keksz kakaókrémes töltelékkel töltve 500 g,9100000744940,,lost_barcode,999.0,1049.0,50.0,keksz-109,keksz-183
S-Budget kockázott bacon 500 g,S-Budget kockázott bacon 500 g,5999033874403,,lost_barcode,1299.0,1280.0,-19.0,szalonna-bacon-67,szalonna-bacon-121
S-Budget szeletelt csemege karaj 100 g,S-Budget szeletelt csemege karaj 100 g,5999139400476,,lost_barcode,499.0,399.0,-100.0,felvagott-281,felvagott-115
