key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Tesco_product_name,Spar_barcode,Tesco_barcode,Spar_unit_price,Tesco_unit_price,Spar_unit_type,Tesco_unit_type,Spar_unit_step,Tesco_unit_step,Spar_base_price,Tesco_base_price,Spar_categories,Tesco_categories
3599741001935|findus wok bali gyorsfagyasztott enyhén fűszerezett wok zöldségkeverék 325 g,kg,-18.462,-0.352,Findus Wok Bali gyorsfagyasztott enyhén fűszerezett wok zöldségkeverék 325 g,Findus Wok Bali gyorsfagyasztott enyhén fűszerezett wok zöldségkeverék 325 g,3599741001935,03599741001935,1705.0,1699.0,g,g,325.0,325.0,5246.154,5227.692,koret-195,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3599741002079|findus wok chinese fagyasztott fűszerezett zöldségkeverék wokhoz 325 g,kg,-18.462,-0.352,Findus Wok Chinese fagyasztott fűszerezett zöldségkeverék wokhoz 325 g,Findus Wok Chinese fagyasztott fűszerezett zöldségkeverék wokhoz 325 g,3599741002079,03599741002079,1705.0,1699.0,g,g,325.0,325.0,5246.154,5227.692,koret-195,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
3599741002109|findus wok classic fagyasztott fűszerezet zöldségkeverék wokhoz 325 g,kg,-18.462,-0.352,Findus Wok Classic fagyasztott fűszerezet zöldségkeverék wokhoz 325 g,Findus Wok Classic fagyasztott fűszerezet zöldségkeverék wokhoz 325 g,3599741002109,03599741002109,1705.0,1699.0,g,g,325.0,325.0,5246.154,5227.692,koret-195,Mélyhűtött|Fagyasztott zöldség|Fagyasztott zöldségek|Fagyasztott zöldségek
"3600010010869|ľoréal paris elseve color vive sampon, 250 ml",l,-1020.0,-16.201,"ĽOréal Paris Elseve Color Vive sampon, 250 ml","ĽOréal Paris Elseve Color Vive sampon, 250 ml",3600010010869,03600010010869,1574.0,1319.0,ml,ml,250.0,250.0,6296.0,5276.0,hajsampon-301,Drogéria|Hajápolás|Női samponok|Festett hajra
"3600010011361|ľoréal paris elseve color vive balzsam, 200 ml",l,-650.0,-7.98,"ĽOréal Paris Elseve Color Vive balzsam, 200 ml","ĽOréal Paris Elseve Color Vive balzsam, 200 ml",3600010011361,03600010011361,1629.0,1499.0,ml,ml,200.0,200.0,8145.0,7495.0,hajbalzsam-302,Drogéria|Hajápolás|Hajbalzsamok|Festett hajra
"3600520809175|ľoréal paris elseve color vive sampon, 400 ml",l,-787.5,-15.797,"ĽOréal Paris Elseve Color Vive sampon, 400 ml","ĽOréal Paris Elseve Color Vive sampon, 400 ml",3600520809175,03600520809175,1994.0,1679.0,ml,ml,400.0,400.0,4985.0,4197.5,hajsampon-301,Drogéria|Hajápolás|Női samponok|Festett hajra
"3600521705827|ľoréal paris elseve total repair 5 sampon, 400 ml",l,-1050.0,-20.01,"ĽOréal Paris Elseve Total Repair 5 sampon, 400 ml","ĽOréal Paris Elseve Total Repair 5 sampon, 400 ml",3600521705827,03600521705827,2099.0,1679.0,ml,ml,400.0,400.0,5247.5,4197.5,hajsampon-301,Drogéria|Hajápolás|Női samponok|Sérült hajra
"3600521706428|ľoréal paris elseve total repair 5 balzsam, 200 ml",l,-650.0,-7.98,"ĽOréal Paris Elseve Total Repair 5 balzsam, 200 ml","ĽOréal Paris Elseve Total Repair 5 balzsam, 200 ml",3600521706428,03600521706428,1629.0,1499.0,ml,ml,200.0,200.0,8145.0,7495.0,hajbalzsam-302,Drogéria|Hajápolás|Hajbalzsamok|Sérült hajra
3600522895114|ľoréal paris revitalift laser x3 nappali krém 50 ml,l,-12680.0,-9.291,ĽOréal Paris Revitalift Laser X3 nappali krém 50 ml,ĽOréal Paris Revitalift Laser X3 nappali krém 50 ml,3600522895114,03600522895114,6824.0,6190.0,ml,ml,50.0,50.0,136480.0,123800.0,kremek-292,Drogéria|Bőrápolás|Arcápolás|Nappali arckrémek
3600523408924|ľoréal paris age specialist ránctalanító nappali arcápoló 65 + 50 ml,l,-5300.0,-7.65,ĽOréal Paris Age Specialist ránctalanító nappali arcápoló 65 + 50 ml,ĽOréal Paris Age Specialist ránctalanító nappali arcápoló 65 + 50 ml,3600523408924,03600523408924,3464.0,3199.0,ml,ml,50.0,50.0,69280.0,63980.0,kremek-292,Drogéria|Bőrápolás|Arcápolás|Nappali arckrémek
