key,base_unit,base_price_diff_b_minus_a,base_price_pct_b_minus_a,Spar_product_name,Prima_product_name,Spar_barcode,Prima_barcode,Spar_unit_price,Prima_unit_price,Spar_unit_type,Prima_unit_type,Spar_unit_step,Prima_unit_step,Spar_base_price,Prima_base_price,Spar_categories,Prima_categories
3850104008054|vegeta ételízesítő 75 g,kg,466.667,8.454,Vegeta ételízesítő 75 g,Vegeta ételízesítő 75 g,3850104008054,3850104008054,414.0,449.0,g,g,75.0,75.0,5520.0,5986.667,etelizesito-leveskocka-171,etelizesito-125
"3850104008443|vegeta ételízesítő, 500 g",kg,310.0,9.428,"Vegeta ételízesítő, 500 g","Vegeta ételízesítő, 500 g",3850104008443,3850104008443,1644.0,1799.0,g,g,500.0,500.0,3288.0,3598.0,etelizesito-leveskocka-171,etelizesito-125
3850104008597|vegeta ételízesítő 250 g,kg,280.0,8.245,Vegeta ételízesítő 250 g,Vegeta ételízesítő 250 g,3850104008597,3850104008597,849.0,919.0,g,g,250.0,250.0,3396.0,3676.0,etelizesito-leveskocka-171,etelizesito-125
"3850104008825|vegeta ételízesítő, 125 g",kg,600.0,12.019,"Vegeta ételízesítő, 125 g","Vegeta ételízesítő, 125 g",3850104008825,3850104008825,624.0,699.0,g,g,125.0,125.0,4992.0,5592.0,etelizesito-leveskocka-171,etelizesito-125
3850104042225|eva makrélafilé paradicsomos mártásban 170 g,kg,1176.471,8.34,Eva makrélafilé paradicsomos mártásban 170 g,Eva makrélafilé paradicsomos mártásban 170 g,3850104042225,3850104042225,1199.0,1299.0,g,g,85.0,85.0,14105.882,15282.353,halkonzerv-huskonzerv-melegszendvicskrem-212,hal-konzerv-102
3850104042232|eva heringfilé paradicsommártásban 170 g,kg,1176.471,10.01,Eva heringfilé paradicsommártásban 170 g,Eva heringfilé paradicsommártásban 170 g,3850104042232,3850104042232,999.0,1099.0,g,g,85.0,85.0,11752.941,12929.412,halkonzerv-huskonzerv-melegszendvicskrem-212,hal-konzerv-102
3850104042256|eva makrélafilé növényi olajban 170 g,kg,980.392,8.34,Eva makrélafilé növényi olajban 170 g,Eva makrélafilé növényi olajban 170 g,3850104042256,3850104042256,1199.0,1299.0,g,g,102.0,102.0,11754.902,12735.294,halkonzerv-huskonzerv-melegszendvicskrem-212,hal-konzerv-102
3850104042263|eva sprotni növényi olajban 170 g,kg,680.672,9.06,Eva sprotni növényi olajban 170 g,Eva sprotni növényi olajban 170 g,3850104042263,3850104042263,894.0,975.0,g,g,119.0,119.0,7512.605,8193.277,halkonzerv-huskonzerv-melegszendvicskrem-212,hal-konzerv-102
3850104043338|eva heringfilé növényi olajban 170 g,kg,980.392,10.01,Eva heringfilé növényi olajban 170 g,Eva heringfilé növényi olajban 170 g,3850104043338,3850104043338,999.0,1099.0,g,g,102.0,102.0,9794.118,10774.51,halkonzerv-huskonzerv-melegszendvicskrem-212,hal-konzerv-102
3850104050565|podravka csípős ajvár 350 g,kg,311.429,7.842,Podravka csípős ajvár 350 g,Podravka csípős ajvár 350 g,3850104050565,3850104050565,1390.0,1499.0,g,g,350.0,350.0,3971.429,4282.857,etelszosz-martas-225,szosz-martas-113
3850104051029|podravka csemege ajvár 350 g,kg,311.429,7.842,Podravka csemege ajvár 350 g,Podravka csemege ajvár 350 g,3850104051029,3850104051029,1390.0,1499.0,g,g,350.0,350.0,3971.429,4282.857,etelszosz-martas-225,szosz-martas-113
3856028500346|jana baby természetes szénsavmentes ásványvíz 1 l,l,30.0,7.16,Jana Baby természetes szénsavmentes ásványvíz 1 l,Jana Baby természetes szénsavmentes ásványvíz 1 l,3856028500346,3856028500346,419.0,449.0,ml,ml,1000.0,1000.0,419.0,449.0,asvanyviz-201,asvanyviz-173
3856028500377|jana baby természetes szénsavmentes ásványvíz 330 ml,l,63.636,6.688,Jana Baby természetes szénsavmentes ásványvíz 330 ml,Jana Baby természetes szénsavmentes ásványvíz 330 ml,3856028500377,3856028500377,314.0,335.0,ml,ml,330.0,330.0,951.515,1015.152,asvanyviz-201,asvanyviz-173
"3856028500889|jana eper és guava ízű, energiaszegény, szénsavmentes üdítőital 1,5 l",l,36.667,7.925,"Jana eper és guava ízű, energiaszegény, szénsavmentes üdítőital 1,5 l","Jana eper és guava ízű, energiaszegény, szénsavmentes üdítőital 1,5 l",3856028500889,3856028500889,694.0,749.0,ml,ml,1500.0,1500.0,462.667,499.333,szensavmentes-uditoitalok-202,izesitett-asvanyviz-174
"3856028500919|jana szőlő és mirabella ízű, energiaszegény, szénsavmentes üdítőital 1,5 l",l,36.667,7.925,"Jana szőlő és mirabella ízű, energiaszegény, szénsavmentes üdítőital 1,5 l","Jana szőlő és mirabella ízű, energiaszegény, szénsavmentes üdítőital 1,5 l",3856028500919,3856028500919,694.0,749.0,ml,ml,1500.0,1500.0,462.667,499.333,szensavmentes-uditoitalok-202,izesitett-asvanyviz-174
"3858887584925|somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,33 l",l,151.515,8.078,"Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,33 l","Somersby alma cider almalé alapú szénsavas, alkoholos ital 4,5% 0,33 l",3858887584925,3858887584925,619.0,669.0,ml,ml,330.0,330.0,1875.758,2027.273,cider-238,cider-185
"3858887584949|somersby blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 330 ml",l,151.515,8.078,"Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 330 ml","Somersby Blueberry cider almalé alapú szénsavas, alkoholos ital kékáfonya ízesítéssel 4,5% 330 ml",3858887584949,3858887584949,619.0,669.0,ml,ml,330.0,330.0,1875.758,2027.273,cider-238,cider-185
"3858887585021|somersby strawberry & lime alkoholmentes szénsavas ital eper és lime ízesítéssel 0,0% 330 ml",l,151.515,8.078,"Somersby Strawberry & Lime alkoholmentes szénsavas ital eper és lime ízesítéssel 0,0% 330 ml","Somersby Strawberry & Lime alkoholmentes szénsavas ital eper és lime ízesítéssel 0,0% 330 ml",3858887585021,3858887585021,619.0,669.0,ml,ml,330.0,330.0,1875.758,2027.273,alkoholmentes-sor-237,cider-185
