store_product_id,product_name,barcode,normalized_unit_price,normalized_step,normalized_unit,tesco_actual,tesco_unit_price,tesco_measure,derived_step_from_tesco_unit_price,derived_unit,ratio,categories
100825952,Fagylalt homokozó szett 11 db,05319990166326,1999.0,11.0,db,1999,1999.0,each,1.0,db,11.0,"Otthon-hobbi|Játékok|Szabadtéri játékok, kiegészítők|Szabadtéri játékok, kiegészítők"
220337025,Félbarna vekni 500 g,02188690000000,345.0,500.0,g,345,6900.0,kg,50.0,g,10.0,Pékáru|Friss pékáru|Kenyér|Kenyér
220318384,Always Ultra Secure Night Extra Egészségügyi Betét (5-ös Méret) Szárnyas Betét x 10],08006540093849,1369.0,1.0,db,1369,136.9,each,10.0,db,10.0,Drogéria|Női higiénia|Intim betétek|Intim betétek
100749905,"Tesco tonhal saláta kukoricával, sárgarépával, savanyú uborkával és fekete olívabogyóval 16 g",05051007161275,1089.0,16.0,g,1089,6806.3,kg,159.999,g,10.0,"Alapvető élelmiszerek|Konzervek, olívabogyók|Halkonzervek, haltermékek|Tonhal"
105006592,"Alpro zsírszegény fermentált szójakészítmény kókusszal, hozzáadott kalciummal és vitaminokkal 40 g",05411188138051,1139.0,40.0,g,1139,2847.5,kg,400.0,g,10.0,"Speciális|Vegetáriánus és vegán|Joghurt, joghurtital|Joghurt"
220331365,Elephant chips-tallér mézes-mustáros és hagymás fűszerezéssel 70 g,05949040202058,589.0,70.0,g,589,841.4,kg,700.024,g,10.0,"Alapvető élelmiszerek|Rágcsálnivalók, chips|Sós kekszek, sós pálcikák és krékerek|Krékerek"
100769945,Tesco papír zsebkendő 3 rétegű 10 x 10 db,05051007176699,599.0,100.0,db,599,59.9,each,10.0,db,10.0,Háztartás|Háztartási papír|Papír zsebkendő|3 rétegű
105007070,Ooops! Everyday Sensitive toalettpapír 3 rétegű 10 tekercs,05998648709186,2449.0,1.0,db,2449,244.9,each,10.0,db,10.0,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatmentes"
100769944,Tesco papír zsebkendő aloe vera illattal 3 rétegű 10 x 10 db,05051007176682,599.0,100.0,db,599,59.9,each,10.0,db,10.0,Háztartás|Háztartási papír|Papír zsebkendő|3 rétegű
120043360,Ooops! Classic Sensitive papír zsebkendő 3 rétegű 10 x 10 db,05998648702422,679.0,100.0,db,679,67.9,each,10.0,db,10.0,Háztartás|Háztartási papír|Papír zsebkendő|3 rétegű
210268199,Ooops! Classic Aloe Vera Balsam papír zsebkendő 3 rétegű 10 x 10 db,05998648702439,679.0,100.0,db,679,67.9,each,10.0,db,10.0,Háztartás|Háztartási papír|Papír zsebkendő|3 rétegű
105026035,Ooops! Everyday Peach toalettpapír 3 rétegű 10 tekercs,05998648705942,2449.0,1.0,db,2449,244.9,each,10.0,db,10.0,"Háztartás|Háztartási papír|Toalettpapír|3 rétegű, illatosított"
111269920,Tesco Papír zsebkendő eukaliptusz illattal 4 rétegű 10 x 10 db,05059944698762,779.0,100.0,db,779,77.9,each,10.0,db,10.0,Háztartás|Háztartási papír|Papír zsebkendő|4 rétegű
111270026,Tesco papír zsebkendő 4 rétegű 10 x 10 db,05059944698830,779.0,100.0,db,779,77.9,each,10.0,db,10.0,Háztartás|Háztartási papír|Papír zsebkendő|4 rétegű
210271267,Zewa Deluxe Limited Edition illatmentes papír zsebkendő 3 rétegű 10 x 10 db,07322540043440,429.0,100.0,db,429,42.9,each,10.0,db,10.0,Háztartás|Háztartási papír|Papír zsebkendő|3 rétegű
209839881,Hansaplast Universal sebtapasz 1 m x 6 cm,04005800042744,1329.0,1.0,db,1329,132.9,each,10.0,db,10.0,Drogéria|Patika|Gyógyászati segédeszközök|Gyógyászati segédeszközök
220330407,Lynx A/4 famentes rajzlap 10 lap,05999570821540,159.0,1.0,db,159,15.9,each,10.0,db,10.0,"Otthon-hobbi|Iskolai és irodai kellékek|Kötelező termékek|Rajzlap, írólap"
220330397,Lynx A4 félfamentes rajzlap 10 lap,05999570821564,219.0,1.0,db,219,21.9,each,10.0,db,10.0,"Otthon-hobbi|Iskolai és irodai kellékek|Kötelező termékek|Rajzlap, írólap"
100393015,Fehér boríték LC/5 (162 x 229 mm) öntapadós 10 db,05999525921400,499.0,10.0,db,499,499.0,each,1.0,db,10.0,Otthon-hobbi|Iskolai és irodai kellékek|Irodaszerek|Irodai kiegészítők
220330400,Lynx műszaki rajzlap A4 10 lap,05999570821731,249.0,1.0,db,249,24.9,each,10.0,db,10.0,"Otthon-hobbi|Iskolai és irodai kellékek|Kötelező termékek|Rajzlap, írólap"
