store_name,product_name,api_step,api_unit,jellemzo,jellemzo_unit,nev_parse,kategoria,kozelebb_nevhez
Metro,KINLEY Tonic Tonikízű Szénsavas Üdítőital Visszaváltható Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,Sprite Zero Citrom és Lime Ízű Cukormentes Szénsavas Üdítőital Visszaváltható Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,KINLEY Gyömbérízű Szénsavas Üdítőital Visszaváltható Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,Fanta Narancs Szénsavas Üdítőital Visszaváltható Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,Kinley Pink Tonic Szénsavas Üdítőital Visszaválthatós Üvegben 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,Kinley Purple Vegyes Gyümölcs Ízű Szénsavas Üdítőital Cukorral és Édesítőszerekkel 24 x 250 ml,6000,ml,250,ml,250ml,ar_derivalt_API_hiba,jellemzo
Metro,aro Málna Ízű Szörp 700 ml,700,ml,850,ml,700ml,egyeb,api
Metro,aro Narancsízű Szörp Édesítőszerekkel 700 ml,700,ml,850,ml,700ml,egyeb,api
Metro,Naturaqua Szénsavmentes Ásványvíz Visszaváltható Üvegben 24 x 330 ml,7920,ml,330,ml,330ml,ar_derivalt_API_hiba,jellemzo
Metro,NaturAqua Természetes Szénsavas Ásványvíz Visszaváltható Üvegben 330 ml,7920,ml,330,ml,330ml,ar_derivalt_API_hiba,jellemzo
Metro,NaturAqua Szénsavmentes Ásványvíz Visszaváltható Üvegben 14 x 750 ml,10500,ml,750,ml,750ml,ar_derivalt_API_hiba,jellemzo
Metro,NaturAqua Szénsavas Ásványvíz Visszaváltható Üvegben 14 x 750 ml,10500,ml,750,ml,750ml,ar_derivalt_API_hiba,jellemzo
Metro,NESCAFÉ 3in1 Strong azonnal oldódó kávéspecialitás 10 x 16 g (160 g),165,g,160,g,160g,egyeb,jellemzo
Metro,L'OR Espresso Forza szemes pörkölt kávé 1000 g,100,g,1000,g,1000g,egyeb,jellemzo
Metro,"Segafredo Zanetti Espresso Classico őrölt, pörkölt kávékeverék kapszula 10 x 5,1 g (51 g)",51000,g,51,g,51g,ar_derivalt_API_hiba,jellemzo
Metro,"Segafredo Espresso Intenso őrölt, pörkölt kávékeverék kapszula 10 x 5,1 g (51 g)",51000,g,51,g,51g,ar_derivalt_API_hiba,jellemzo
Metro,"Segafredo Zanetti Espresso Ristretto őrölt, pörkölt kávékeverék kapszula 10 x 5,1 g (51 g)",51000,g,51,g,51g,ar_derivalt_API_hiba,jellemzo
Metro,"Segafredo Zanetti Espresso 100% Arabica őrölt, pörkölt kávékeverék kapszula 10 x 5,1 g (51 g)",51000,g,51,g,51g,ar_derivalt_API_hiba,jellemzo
Metro,Dolce Gusto NESCAFÉ Chococino forrócsokoládé kapszula 16 db/8 csésze 256 g,270,g,256,g,256g,egyeb,jellemzo
Metro,"PICKWICK Natúr Zöld Tea 20 x 1,5 g",40,g,30,g,1.5g,egyeb,jellemzo
Metro,"PICKWICK Apple Love gyümölcstea az alma, a fahéj és a karamell ízével 20 filter 35 g",40,g,35,g,35g,egyeb,jellemzo
Metro,"TWININGS gránátalma, málna és eper ízű zöld tea 25 filter 37,5 g",40,g,38,g,37.5g,egyeb,jellemzo
Metro,Loyd feketeribizli és bodza ízű gyümölcstea 20 filter 40 g,20,g,40,g,40g,egyeb,jellemzo
Metro,TWININGS zöld tea válogatás 20 filter 34 g,38,g,34,g,34g,egyeb,jellemzo
Metro,PICKWICK Fruit Fusion Gyümölcstea Citrom- És Narancshéjjal És Bodzavirággal Ízesítve ( 20 x 2 ) 70 g,40,g,70,g,70g,egyeb,jellemzo
Metro,"Lipton Gold Tea ízesített fekete tea 25 filter 37,5 g",800,g,38,g,37.5g,ar_derivalt_API_hiba,jellemzo
Metro,"PICKWICK Magic Orange gyümölcstea a narancs, a fahéj és a szegfűszeg ízével 20 filter 35 g",40,g,35,g,35g,egyeb,jellemzo
Metro,Loyd málna-áfonya ízű rooibos tea manuka mézzel 20 filter 34 g,35,g,34,g,34g,egyeb,jellemzo
Metro,"TEEKANNE YUZU Green Yuzu ízesítésű zöld tea 20 x 1,75 g",35,g,40,g,1.75g,egyeb,api
Metro,"PICKWICK Fruit Fusion Variációk Sárga 20 x 1,9 g",390,g,38,g,1.9g,ar_derivalt_API_hiba,jellemzo
Metro,"Basilur Organisa piros bogyós bio tea ashwagandhával 18 db 32,4 g",32400,g,32,g,32.4g,ar_derivalt_API_hiba,jellemzo
Metro,"Basilur Organisa yuzu licsi és menta bio tea 18 db 32,4 g",32400,g,32,g,32.4g,ar_derivalt_API_hiba,jellemzo
Metro,"Basilur Organisa fűszeres vérnarancs bio tea 18 db 32,4 g",32400,g,32,g,32.4g,ar_derivalt_API_hiba,jellemzo
Metro,RIOBA Classic Krémcsokoládé Italpor 10 x 20 g (200 g),250,g,200,g,200g,egyeb,jellemzo
Metro,RIOBA Fehér Krémcsokoládé Instant Italpor 10 x 18 g,250,g,180,g,18g,egyeb,jellemzo
Metro,"KitKat Nestlé szelet 41,5 g",41,g,42,g,41.5g,egyeb,?
Metro,Milka Egészmogyorós tejcsokoládé 95 g,950,g,95,g,95g,ar_derivalt_API_hiba,jellemzo
Metro,Raffaello Prémium táblás fehér csokoládé kókuszos-mandulás krémmel töltve 90 g,92,g,90,g,90g,egyeb,jellemzo
Metro,Schogetten alpesi tejcsokoládé 100 g,1000,g,100,g,100g,ar_derivalt_API_hiba,jellemzo
Metro,Milka alpesi tej felhasználásával készült tejcsokoládé praliné mogyorós krémtöltelékkel 110 g,120,g,110,g,110g,egyeb,jellemzo
Metro,Lindt Lindor fehércsokoládé praliné lágyan olvadó töltelékkel 200 g,100,g,200,g,200g,egyeb,jellemzo
Metro,Szerencsi Pop! tutti-frutti ízű krémmel töltött tejcsokoládé robbanócukorkával 22 g,20,g,22,g,22g,egyeb,jellemzo
Metro,"Gullón élelmi rostban gazdag keksz, édesítőszerrel, cukormentes 170 g",150,g,170,g,170g,egyeb,jellemzo
Metro,"nutella Biscuit kakaós mogyorókrémmel töltött keksz 41,4 g",41400,g,42,g,41.4g,ar_derivalt_API_hiba,jellemzo
Metro,Cerbona Csokis-kekszes Müzliszelet 20 g,2,g,20,g,20g,egyeb,jellemzo
Metro,"Nestlé Fitness tejcsokoládés gabonapehely-szelet vitaminokkal & ásványi anyagokkal reggelihez 22,5 g",22,g,23,g,22.5g,egyeb,?
Metro,KELLOGG'S Frosties cukormázzal bevont kukoricapehely 330 g,375,g,330,g,330g,egyeb,jellemzo
Metro,Dr. Oetker Vitalis almás-fahéjas zabkása alappor 48 g,480,g,48,g,48g,ar_derivalt_API_hiba,jellemzo
Metro,"HALLS mentol-eukaliptuszízű, töltetlen keménycukorka 33,5 g",33,g,34,g,33.5g,egyeb,?
Metro,"HALLS extra erős mentol-eukaliptuszízű töltetlen keménycukorka 33,5 g",33,g,34,g,33.5g,egyeb,?
Metro,"PEZ vegyes gyümölcsízű cukorka 8,5 g",8,g,9,g,8.5g,egyeb,?
Metro,"Trolli Töltött Szemgolyó Gumicukor 80 x 18,8 g",18,g,19,g,18.8g,egyeb,jellemzo
Metro,"Trolli Töltött Szemgolyó Gumicukor 80 x 18,8 g",18,g,19,g,18.8g,egyeb,jellemzo
Metro,"Fini Roller vegyesgyümölcs ízű gumicukorszalag, savanyú cukorporral panírozva 20 g",18,g,20,g,20g,lecsopogtetett_konzerv,jellemzo
Metro,Fini Roller görögdinnye ízű gumicukorszalag savanyú cukorporral panírozva 20 g,18,g,20,g,20g,lecsopogtetett_konzerv,jellemzo
Metro,Retro Limo Por 90 x 13 g,800,g,13,g,13g,ar_derivalt_API_hiba,jellemzo
Metro,"Mogyi pirított, sózott mandula 120 g",90,g,120,g,120g,egyeb,jellemzo
Metro,"Mogyi pirított, sózott kesudió 120 g",90,g,120,g,120g,egyeb,jellemzo
