store_name,store_product_id,product_name,unit_step,unit_type,tipus,javasolt_mennyiseg,javasolt_egyseg,bizonyossag,indok,local_image_paths
Aldi,533270,Narancs lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/ef56c25cd52f4149.jpg
Aldi,533371,Kelkáposzta kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/1fa17be8236eb086.jpg
Aldi,533494,Banán kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/16a3c7b9cbc9dfbe.jpg
Aldi,1046954,Alma Pink lady kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/0e96a329dc03495b.jpg
Aldi,533579,Burgonya új kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/ae98aa8279eddce4.jpg
Aldi,533342,Fürtös uborka kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/bb47b11187069382.jpg
Aldi,533462,Édesburgonya kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/deec32b58f281394.jpg
Aldi,533583,Főzőtök kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/40a3a05240d497d7.jpg
Aldi,1049842,Bio banán Fairtrade,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/2e5172ec3d9d1097.jpg
Aldi,1049841,Ananász kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/0f159aa41e6e7bbd.jpg
Aldi,4607052,Cukkini lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/e432d151ce237da3.jpg
Aldi,533432,Citrom kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/328d0d10ddb5db04.jpg
Aldi,533312,Petrezselyemgyökér kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/6e2a706a8caf1681.jpg
Aldi,4605046,Kovászolni való uborka lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/e005a6d27ceb46f9.jpg
Aldi,4603887,Fokhagyma kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/b6e7cbe7b80997fc.jpg
Aldi,533358,Paprika kaliforniai kg,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/b2a5cff62944f4ca.jpg
Aldi,533465,Nektarin lédig,1000.0,g,ledig,,g,auto,bolti ledig jelzes; lepeskoz volt: 1000.0 g,data/markets_data/product_images/aldi/625ab60e39a538e8.jpg
