store_name,store_product_id,product_name,korrekcio_tipus,eredeti_mennyiseg,eredeti_egyseg,javitott_mennyiseg,javitott_egyseg,indok,forras
Metro,BTY-X93319100320021,Friss Egész Csirkecomb ( 10 x 200 g ) 2 kg,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X16857700320021,Iványi Kukoricás Csirkemellfilé Felezett,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X3791300320021,"Friss Csirke Felsőcombfilé, Vákuumcsomagolt",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X98104300320021,"Friss Csirkemellfilé, Vákuumcsomagolt 12 x 160 g",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X16857900320021,Iványi - Kukoricás Egész Csirke,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X1999300320021,Tanyasi Friss Jérce Zsigerelve Belsőség Nélkül,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X11179300320021,Friss Csirkemellfilé Medál,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X15227000320021,"""A"" minőségű Friss Csirkeláb Védőgázos",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X18441400320021,IVÁNYI Kukoricás Bőrös Csirkecombfilé,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X2000800320021,Master Good Tanyasi Friss Csirke Színe-Java,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X48221600320021,Tanyasi Friss Rántani Való Csirke Zsigerelve Belsőség Nélkül,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X7959600320021,"Friss Pácolt Marengo Csirke kb.1,5 kg",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X11528500320021,Tanyasi Friss Csirkecombfilé Bőrrel,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X7613600320021,Friss Csirkecomb kb. 5 kg,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4338900320021,Friss Csirke Egész Comb 5 kg,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4341800320021,"Friss Csirkemáj, Vákuumcsomagolt",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X13634200320021,"Friss Csirkenyak, Védőgázos Fóliában",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X4343200320021,"Friss Csirke Zúza, Vákuumcsomagolt",ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X16332300320021,METRO Chef 2 db Konfitált Kacsacomb 60-80 dkg,ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
Metro,BTY-X16332100320021,METRO Chef Konfitált Kacsaszárnytő 10 db / Csomag (10-20 dkg/db),ledig,1000.0,g,,g,bolti ledig/sulyra mert jelzes - egysegar hasznalando,bolti_api
