barcode_norm,product_name_old,product_name_new,category_norm_old,category_norm_new,category_base_old,category_base_new,unit_price_old,unit_price_new
5997003584383,Floriol Omega+ finomított repceétolaj és nagy olajsavtartalmú napraforgó-étolaj keveréke 1 l,Floriol Omega+ finomított repceétolaj és nagy olajsavtartalmú napraforgó-étolaj keveréke 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,930.0,930.0
8424536921462,Floriol Salads extraszűz olívaolaj salátákhoz és öntetekhez 500 ml,Floriol Salads extraszűz olívaolaj salátákhoz és öntetekhez 500 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,4149.0,4149.0
5997003584376,"Floriol Vitamins finomított napraforgó-étolaj hozzáadott A-, D-, E-vitaminnal 1 l","Floriol Vitamins finomított napraforgó-étolaj hozzáadott A-, D-, E-vitaminnal 1 l",antipasti-159,savanyusag-161,antipasti,savanyusag,930.0,930.0
5999885217397,Grapoila hidegen sajtolt szezámmagolaj 250 ml,Grapoila hidegen sajtolt szezámmagolaj 250 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,2249.0,2249.0
5999885217007,Grapoila hidegen sajtolt szőlőmagolaj 250 ml,Grapoila hidegen sajtolt szőlőmagolaj 250 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,2510.0,2510.0
8715035584006,Kikkoman szezámmagolaj pirított szezámmagból 125 ml,Kikkoman szezámmagolaj pirított szezámmagból 125 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,2099.0,2099.0
9005200110468,Kronen finomított kukoricacsíra étolaj 1 l,Kronen finomított kukoricacsíra étolaj 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,2049.0,2049.0
5998017555420,Kunsági Éden 100% finomított napraforgó-étolaj 2 l,Kunsági Éden 100% finomított napraforgó-étolaj 2 l,antipasti-159,savanyusag-161,antipasti,savanyusag,1634.0,1670.0
5998017500291,Kunsági Éden Szuper finomított étolaj hozzáadott D-vitaminnal 1 l,Kunsági Éden Szuper finomított étolaj hozzáadott D-vitaminnal 1 l,antipasti-159,savanyusag-161,antipasti,savanyusag,880.0,905.0
40122083,Kühne almabor ecet 5% 750 ml,Kühne almabor ecet 5% 750 ml,antipasti-159,savanyusag-161,antipasti,savanyusag,1819.0,1819.0
